Id,Department__c,Category__c,Sub_Category__c,Type__c,Quantity__c,Unit_Price__c
a00P0000006KXoaIAG,Sales,Sales Engineering,Cat2,TypeB,3,63.97
a00P0000006KXobIAG,Sales,Sales Engineering,Cat1,TypeB,2,22.69
a00P0000006KXocIAG,Marketing,ABM,Cat2,TypeB,10,91.99
a00P0000006KXodIAG,Operations,Human Resources,Cat2,TypeA,6,5.53
a00P0000006KXoeIAG,Marketing,ABM,Cat2,TypeB,2,28.12
a00P0000006KXofIAG,Operations,Human Resources,Cat3,TypeA,6,41.29
a00P0000006KXogIAG,Development,Coding,Cat2,TypeC,5,65.45
a00P0000006KXohIAG,Development,Quality Assurance,Cat1,TypeB,9,5.63
a00P0000006KXoiIAG,Development,Quality Assurance,Cat2,TypeA,10,23.71
a00P0000006KXojIAG,Operations,Human Resources,Cat1,TypeA,10,99.78
a00P0000006KXokIAG,Marketing,ABM,Cat2,TypeB,10,4.21
a00P0000006KXolIAG,Operations,Performance Management,Cat1,TypeA,8,72.77
a00P0000006KXomIAG,Sales,Pre Sales,Cat2,TypeC,3,40.05
a00P0000006KXonIAG,Sales,Sales Engineering,Cat2,TypeB,10,23.58
a00P0000006KXooIAG,Development,Coding,Cat3,TypeB,2,83.58
a00P0000006KXopIAG,Marketing,ABM,Cat1,TypeC,10,94.49
a00P0000006KXoqIAG,Development,Quality Assurance,Cat3,TypeB,3,99.94
a00P0000006KXorIAG,Support,Tier 3,Cat3,TypeB,6,76.34
a00P0000006KXosIAG,Sales,Pre Sales,Cat3,TypeC,7,42.67
a00P0000006KXotIAG,Sales,Pre Sales,Cat2,TypeB,6,46.44
a00P0000006KXouIAG,Sales,Sales Engineering,Cat3,TypeC,2,50.23
a00P0000006KXovIAG,Support,Tier 1,Cat2,TypeA,6,62.53
a00P0000006KXowIAG,Operations,Performance Management,Cat3,TypeA,6,45.36
a00P0000006KXoxIAG,Development,Quality Assurance,Cat1,TypeB,1,59.96
a00P0000006KXoyIAG,Operations,Human Resources,Cat1,TypeA,3,65.81
a00P0000006KXozIAG,Development,Quality Assurance,Cat3,TypeC,2,17.69
a00P0000006KXp0IAG,Sales,Pre Sales,Cat3,TypeB,3,80.07
a00P0000006KXp1IAG,Development,Coding,Cat1,TypeA,6,17.94
a00P0000006KXp2IAG,Support,Tier 1,Cat3,TypeC,3,38.05
a00P0000006KXp3IAG,Sales,Pre Sales,Cat1,TypeA,4,5.54
a00P0000006KXp4IAG,Development,Coding,Cat1,TypeB,8,18.93
a00P0000006KXp5IAG,Development,Coding,Cat3,TypeC,1,98.19
a00P0000006KXp6IAG,Sales,Pre Sales,Cat2,TypeB,7,88.32
a00P0000006KXp7IAG,Sales,Pre Sales,Cat2,TypeB,9,78.54
a00P0000006KXp8IAG,Sales,Sales Engineering,Cat1,TypeC,4,99.38
a00P0000006KXp9IAG,Marketing,ABM,Cat3,TypeB,6,34.65
a00P0000006KXpAIAW,Support,Tier 1,Cat3,TypeC,8,74.88
a00P0000006KXpBIAW,Development,Coding,Cat3,TypeB,2,71.4
a00P0000006KXpCIAW,Development,Quality Assurance,Cat3,TypeB,3,84.03
a00P0000006KXpDIAW,Marketing,ABM,Cat3,TypeB,6,24.05
a00P0000006KXpEIAW,Marketing,ABM,Cat3,TypeB,5,50.86
a00P0000006KXpFIAW,Operations,Human Resources,Cat1,TypeA,3,14.92
a00P0000006KXpGIAW,Sales,Sales Engineering,Cat2,TypeA,3,20.42
a00P0000006KXpHIAW,Support,Tier 2,Cat3,TypeA,9,90.56
a00P0000006KXpIIAW,Operations,Human Resources,Cat2,TypeA,4,76.58
a00P0000006KXpJIAW,Support,Tier 3,Cat1,TypeB,1,79.11
a00P0000006KXpKIAW,Marketing,ABM,Cat2,TypeA,6,31.35
a00P0000006KXpLIAW,Operations,Human Resources,Cat2,TypeC,10,18.14
a00P0000006KXpMIAW,Sales,Sales Engineering,Cat1,TypeA,8,62.74
a00P0000006KXpNIAW,Support,Tier 2,Cat2,TypeA,7,55.25
a00P0000006KXpOIAW,Support,Tier 2,Cat1,TypeA,9,19.98
a00P0000006KXpPIAW,Support,Tier 2,Cat3,TypeA,1,34.01
a00P0000006KXpQIAW,Marketing,ABM,Cat3,TypeA,8,72.25
a00P0000006KXpRIAW,Support,Tier 3,Cat2,TypeA,3,79.69
a00P0000006KXpSIAW,Support,Tier 3,Cat1,TypeB,1,97.68
a00P0000006KXpTIAW,Support,Tier 1,Cat1,TypeB,5,54.28
a00P0000006KXpUIAW,Sales,Sales Engineering,Cat2,TypeA,6,8.65
a00P0000006KXpVIAW,Development,Coding,Cat2,TypeC,10,79.58
a00P0000006KXpWIAW,Development,Quality Assurance,Cat1,TypeA,4,9.16
a00P0000006KXpXIAW,Operations,Human Resources,Cat3,TypeB,4,55.39
a00P0000006KXpYIAW,Operations,Human Resources,Cat1,TypeA,7,26.31
a00P0000006KXpZIAW,Development,Coding,Cat2,TypeB,6,75.18
a00P0000006KXpaIAG,Support,Tier 2,Cat2,TypeA,9,37.29
a00P0000006KXpbIAG,Marketing,ABM,Cat3,TypeA,10,3.1
a00P0000006KXpcIAG,Sales,Sales Engineering,Cat3,TypeB,4,84.9
a00P0000006KXpdIAG,Support,Tier 3,Cat3,TypeB,7,56.56
a00P0000006KXpeIAG,Support,Tier 1,Cat1,TypeA,7,4.59
a00P0000006KXpfIAG,Sales,Pre Sales,Cat1,TypeC,1,27.98
a00P0000006KXpgIAG,Operations,Human Resources,Cat3,TypeB,1,23.83
a00P0000006KXphIAG,Sales,Pre Sales,Cat1,TypeC,7,83.6
a00P0000006KXpiIAG,Sales,Sales Engineering,Cat1,TypeA,3,2.46
a00P0000006KXpjIAG,Development,Coding,Cat3,TypeC,6,69.54
a00P0000006KXpkIAG,Marketing,ABM,Cat2,TypeA,5,95.66
a00P0000006KXplIAG,Operations,Human Resources,Cat2,TypeA,8,51.36
a00P0000006KXpmIAG,Development,Quality Assurance,Cat3,TypeC,1,53.24
a00P0000006KXpnIAG,Development,Coding,Cat1,TypeA,5,63.82
a00P0000006KXpoIAG,Support,Tier 2,Cat1,TypeC,6,96.48
a00P0000006KXppIAG,Marketing,ABM,Cat3,TypeB,1,57.62
a00P0000006KXpqIAG,Development,Quality Assurance,Cat1,TypeA,1,67.81
a00P0000006KXprIAG,Sales,Sales Engineering,Cat2,TypeB,9,2.27
a00P0000006KXpsIAG,Support,Tier 3,Cat3,TypeB,10,91.03
a00P0000006KXptIAG,Support,Tier 3,Cat2,TypeA,9,24.48
a00P0000006KXpuIAG,Sales,Pre Sales,Cat2,TypeB,5,53.31
a00P0000006KXpvIAG,Support,Tier 3,Cat2,TypeB,6,77.79
a00P0000006KXpwIAG,Development,Coding,Cat2,TypeA,1,33.72
a00P0000006KXpxIAG,Operations,Human Resources,Cat3,TypeA,8,60.75
a00P0000006KXpyIAG,Marketing,ABM,Cat3,TypeB,6,98.47
a00P0000006KXpzIAG,Sales,Pre Sales,Cat2,TypeB,6,6.33
a00P0000006KXq0IAG,Development,Coding,Cat3,TypeB,10,46.95
a00P0000006KXq1IAG,Sales,Sales Engineering,Cat2,TypeB,5,81.96
a00P0000006KXq2IAG,Operations,Performance Management,Cat1,TypeA,6,54.36
a00P0000006KXq3IAG,Operations,Human Resources,Cat3,TypeA,1,44.61
a00P0000006KXq4IAG,Operations,Human Resources,Cat3,TypeB,9,63.43
a00P0000006KXq5IAG,Operations,Human Resources,Cat1,TypeA,3,48.53
a00P0000006KXq6IAG,Sales,Sales Engineering,Cat3,TypeA,5,84.46
a00P0000006KXq7IAG,Marketing,ABM,Cat2,TypeB,3,11.56
a00P0000006KXq8IAG,Development,Quality Assurance,Cat2,TypeB,9,35.45
a00P0000006KXq9IAG,Marketing,ABM,Cat1,TypeB,1,96.7
a00P0000006KXqAIAW,Marketing,ABM,Cat1,TypeA,6,83.82
a00P0000006KXqBIAW,Development,Coding,Cat3,TypeB,2,84.71
a00P0000006KXqCIAW,Support,Tier 3,Cat1,TypeB,9,79.23
a00P0000006KXqDIAW,Development,Quality Assurance,Cat1,TypeC,1,28.39
a00P0000006KXqEIAW,Sales,Sales Engineering,Cat2,TypeC,2,98.89
a00P0000006KXqFIAW,Development,Coding,Cat2,TypeA,4,83.92
a00P0000006KXqGIAW,Support,Tier 2,Cat3,TypeB,6,11.2
a00P0000006KXqHIAW,Development,Coding,Cat1,TypeB,10,33.08
a00P0000006KXqIIAW,Support,Tier 2,Cat1,TypeB,8,82.99
a00P0000006KXqJIAW,Sales,Pre Sales,Cat3,TypeB,2,93.31
a00P0000006KXqKIAW,Operations,Performance Management,Cat3,TypeC,8,16.17
a00P0000006KXqLIAW,Support,Tier 3,Cat3,TypeB,2,27.64
a00P0000006KXqMIAW,Sales,Pre Sales,Cat3,TypeA,2,16
a00P0000006KXqNIAW,Support,Tier 2,Cat1,TypeC,6,51.09
a00P0000006KXqOIAW,Sales,Pre Sales,Cat2,TypeB,4,47.15
a00P0000006KXqPIAW,Development,Coding,Cat1,TypeC,8,17.99
a00P0000006KXqQIAW,Support,Tier 3,Cat2,TypeA,10,28.44
a00P0000006KXqRIAW,Marketing,ABM,Cat2,TypeC,3,25.25
a00P0000006KXqSIAW,Sales,Sales Engineering,Cat1,TypeA,3,35.53
a00P0000006KXqTIAW,Development,Quality Assurance,Cat2,TypeB,7,73.36
a00P0000006KXqUIAW,Support,Tier 3,Cat2,TypeA,10,29.58
a00P0000006KXqVIAW,Sales,Sales Engineering,Cat3,TypeA,10,52.12
a00P0000006KXqWIAW,Operations,Performance Management,Cat3,TypeA,7,19.36
a00P0000006KXqXIAW,Operations,Performance Management,Cat1,TypeB,10,26.86
a00P0000006KXqYIAW,Marketing,ABM,Cat1,TypeA,9,66.65
a00P0000006KXqZIAW,Operations,Human Resources,Cat1,TypeB,9,72.96
a00P0000006KXqaIAG,Development,Quality Assurance,Cat1,TypeA,2,51.94
a00P0000006KXqbIAG,Development,Coding,Cat3,TypeC,10,56.92
a00P0000006KXqcIAG,Sales,Pre Sales,Cat2,TypeB,4,41.52
a00P0000006KXqdIAG,Operations,Performance Management,Cat3,TypeC,5,97
a00P0000006KXqeIAG,Operations,Performance Management,Cat3,TypeB,7,96.28
a00P0000006KXqfIAG,Marketing,ABM,Cat2,TypeC,4,53.99
a00P0000006KXqgIAG,Operations,Performance Management,Cat2,TypeB,6,4.42
a00P0000006KXqhIAG,Operations,Performance Management,Cat3,TypeB,2,71.75
a00P0000006KXqiIAG,Development,Coding,Cat1,TypeA,2,66.34
a00P0000006KXqjIAG,Sales,Pre Sales,Cat2,TypeB,10,37.14
a00P0000006KXqkIAG,Operations,Performance Management,Cat2,TypeA,3,18.39
a00P0000006KXqlIAG,Development,Coding,Cat3,TypeB,10,52.95
a00P0000006KXqmIAG,Support,Tier 1,Cat3,TypeB,1,8.29
a00P0000006KXqnIAG,Marketing,ABM,Cat3,TypeA,5,2.23
a00P0000006KXqoIAG,Operations,Performance Management,Cat3,TypeA,2,15.48
a00P0000006KXqpIAG,Marketing,ABM,Cat1,TypeA,6,67.36
a00P0000006KXqqIAG,Support,Tier 3,Cat1,TypeB,7,74.14
a00P0000006KXqrIAG,Operations,Performance Management,Cat1,TypeC,9,78.52
a00P0000006KXqsIAG,Sales,Sales Engineering,Cat1,TypeA,9,6.6
a00P0000006KXqtIAG,Operations,Human Resources,Cat2,TypeB,7,46.69
a00P0000006KXquIAG,Development,Coding,Cat3,TypeC,7,34.6
a00P0000006KXqvIAG,Sales,Pre Sales,Cat3,TypeA,4,79.78
a00P0000006KXqwIAG,Development,Coding,Cat2,TypeB,2,96.46
a00P0000006KXqxIAG,Operations,Performance Management,Cat3,TypeC,3,12.95
a00P0000006KXqyIAG,Support,Tier 3,Cat1,TypeA,3,1.88
a00P0000006KXqzIAG,Development,Quality Assurance,Cat2,TypeC,5,73.67
a00P0000006KXr0IAG,Development,Coding,Cat2,TypeC,4,11.46
a00P0000006KXr1IAG,Sales,Sales Engineering,Cat1,TypeA,1,93.94
a00P0000006KXr2IAG,Support,Tier 1,Cat3,TypeC,3,62.08
a00P0000006KXr3IAG,Development,Coding,Cat2,TypeC,10,86.39
a00P0000006KXr4IAG,Marketing,ABM,Cat3,TypeB,3,58.46
a00P0000006KXr5IAG,Sales,Sales Engineering,Cat1,TypeB,10,42.39
a00P0000006KXr6IAG,Sales,Pre Sales,Cat2,TypeA,3,98.54
a00P0000006KXr7IAG,Support,Tier 2,Cat3,TypeA,8,92.82
a00P0000006KXr8IAG,Support,Tier 3,Cat2,TypeB,3,3.5
a00P0000006KXr9IAG,Marketing,ABM,Cat1,TypeA,5,49.01
a00P0000006KXrAIAW,Support,Tier 2,Cat1,TypeA,7,99.83
a00P0000006KXrBIAW,Marketing,ABM,Cat2,TypeB,3,2.19
a00P0000006KXrCIAW,Marketing,ABM,Cat3,TypeA,7,65.89
a00P0000006KXrDIAW,Marketing,ABM,Cat1,TypeA,6,44.21
a00P0000006KXrEIAW,Support,Tier 3,Cat3,TypeA,1,80.12
a00P0000006KXrFIAW,Support,Tier 3,Cat1,TypeC,10,2.15
a00P0000006KXrGIAW,Operations,Performance Management,Cat1,TypeB,4,2.51
a00P0000006KXrHIAW,Support,Tier 1,Cat3,TypeC,4,72.41
a00P0000006KXrIIAW,Support,Tier 3,Cat3,TypeB,10,79.99
a00P0000006KXrJIAW,Marketing,ABM,Cat1,TypeA,1,57.12
a00P0000006KXrKIAW,Support,Tier 1,Cat3,TypeB,4,49.06
a00P0000006KXrLIAW,Operations,Performance Management,Cat3,TypeC,6,16.46
a00P0000006KXrMIAW,Development,Quality Assurance,Cat1,TypeC,9,76.74
a00P0000006KXrNIAW,Marketing,ABM,Cat2,TypeC,7,49.52
a00P0000006KXrOIAW,Development,Coding,Cat2,TypeA,6,66.7
a00P0000006KXrPIAW,Development,Quality Assurance,Cat3,TypeB,7,56.72
a00P0000006KXrQIAW,Sales,Sales Engineering,Cat3,TypeA,1,23.27
a00P0000006KXrRIAW,Operations,Performance Management,Cat2,TypeA,8,97.3
a00P0000006KXrSIAW,Operations,Human Resources,Cat2,TypeC,7,80.85
a00P0000006KXrTIAW,Marketing,ABM,Cat3,TypeA,4,27.14
a00P0000006KXrUIAW,Support,Tier 3,Cat2,TypeC,5,78.67
a00P0000006KXrVIAW,Sales,Pre Sales,Cat3,TypeC,6,25.7
a00P0000006KXrWIAW,Support,Tier 2,Cat2,TypeA,3,59.92
a00P0000006KXrXIAW,Marketing,ABM,Cat1,TypeC,3,81.97
a00P0000006KXrYIAW,Support,Tier 2,Cat1,TypeB,4,17.38
a00P0000006KXrZIAW,Operations,Human Resources,Cat2,TypeB,7,8.99
a00P0000006KXraIAG,Support,Tier 3,Cat3,TypeB,5,51.83
a00P0000006KXrbIAG,Sales,Sales Engineering,Cat1,TypeC,3,52.14
a00P0000006KXrcIAG,Development,Quality Assurance,Cat2,TypeB,9,86.36
a00P0000006KXrdIAG,Sales,Pre Sales,Cat1,TypeB,6,89.43
a00P0000006KXreIAG,Sales,Pre Sales,Cat2,TypeA,5,19.38
a00P0000006KXrfIAG,Support,Tier 1,Cat3,TypeC,1,70.32
a00P0000006KXrgIAG,Operations,Performance Management,Cat2,TypeB,8,83.85
a00P0000006KXrhIAG,Marketing,ABM,Cat1,TypeB,9,47.95
a00P0000006KXriIAG,Sales,Pre Sales,Cat3,TypeC,3,47.26
a00P0000006KXrjIAG,Marketing,ABM,Cat3,TypeC,10,99.27
a00P0000006KXrkIAG,Support,Tier 2,Cat3,TypeA,5,90.82
a00P0000006KXrlIAG,Support,Tier 2,Cat3,TypeA,6,56.1
a00P0000006KXrmIAG,Operations,Human Resources,Cat3,TypeB,7,23.4
a00P0000006KXrnIAG,Support,Tier 3,Cat2,TypeC,6,37.63
a00P0000006KXroIAG,Development,Quality Assurance,Cat3,TypeB,7,17.53
a00P0000006KXrpIAG,Sales,Sales Engineering,Cat1,TypeB,4,21.43
a00P0000006KXrqIAG,Support,Tier 3,Cat2,TypeC,2,36.61
a00P0000006KXrrIAG,Operations,Human Resources,Cat1,TypeA,9,67.25
a00P0000006KXrsIAG,Sales,Pre Sales,Cat3,TypeB,8,28.89
a00P0000006KXrtIAG,Development,Quality Assurance,Cat2,TypeA,3,47.05
a00P0000006KXruIAG,Support,Tier 3,Cat3,TypeA,3,98.87
a00P0000006KXrvIAG,Marketing,ABM,Cat3,TypeC,1,86.7
a00P0000006KXrwIAG,Marketing,ABM,Cat2,TypeC,7,82.41
a00P0000006KXrxIAG,Sales,Pre Sales,Cat1,TypeB,8,28.4
a00P0000006KXryIAG,Support,Tier 2,Cat2,TypeB,7,31.43
a00P0000006KXrzIAG,Support,Tier 3,Cat1,TypeC,7,87.24
a00P0000006KXs0IAG,Marketing,ABM,Cat3,TypeC,1,52.17
a00P0000006KXs1IAG,Development,Quality Assurance,Cat1,TypeC,6,1.86
a00P0000006KXs2IAG,Operations,Performance Management,Cat1,TypeB,3,64.92
a00P0000006KXs3IAG,Sales,Sales Engineering,Cat2,TypeC,6,77
a00P0000006KXs4IAG,Support,Tier 3,Cat2,TypeB,5,26.38
a00P0000006KXs5IAG,Development,Coding,Cat3,TypeB,7,32.19
a00P0000006KXs6IAG,Sales,Sales Engineering,Cat1,TypeA,1,89.24
a00P0000006KXs7IAG,Marketing,ABM,Cat3,TypeC,4,34.78
a00P0000006KXs8IAG,Operations,Human Resources,Cat2,TypeA,6,12.97
a00P0000006KXs9IAG,Support,Tier 1,Cat3,TypeC,1,96.27
a00P0000006KXsAIAW,Operations,Performance Management,Cat1,TypeB,5,62.76
a00P0000006KXsBIAW,Support,Tier 3,Cat3,TypeA,6,86.54
a00P0000006KXsCIAW,Development,Quality Assurance,Cat1,TypeC,10,58.61
a00P0000006KXsDIAW,Operations,Performance Management,Cat3,TypeC,2,34.01
a00P0000006KXsEIAW,Support,Tier 3,Cat1,TypeB,9,95.27
a00P0000006KXsFIAW,Support,Tier 3,Cat2,TypeC,10,2.97
a00P0000006KXsGIAW,Sales,Pre Sales,Cat3,TypeC,1,56.47
a00P0000006KXsHIAW,Marketing,ABM,Cat2,TypeA,9,27.3
a00P0000006KXsIIAW,Sales,Pre Sales,Cat2,TypeC,8,6.39
a00P0000006KXsJIAW,Support,Tier 1,Cat2,TypeC,10,2.29
a00P0000006KXsKIAW,Sales,Sales Engineering,Cat1,TypeA,4,88.12
a00P0000006KXsLIAW,Development,Coding,Cat3,TypeB,4,40.96
a00P0000006KXsMIAW,Operations,Human Resources,Cat1,TypeB,10,52.31
a00P0000006KXsNIAW,Marketing,ABM,Cat1,TypeA,3,17.58
a00P0000006KXsOIAW,Sales,Sales Engineering,Cat1,TypeB,9,15.17
a00P0000006KXsPIAW,Development,Coding,Cat2,TypeC,5,43.47
a00P0000006KXsQIAW,Marketing,ABM,Cat3,TypeC,1,38.34
a00P0000006KXsRIAW,Operations,Performance Management,Cat2,TypeA,1,76.46
a00P0000006KXsSIAW,Marketing,ABM,Cat3,TypeB,1,5.52
a00P0000006KXsTIAW,Operations,Human Resources,Cat3,TypeB,2,91.55
a00P0000006KXsUIAW,Sales,Pre Sales,Cat3,TypeA,9,25.9
a00P0000006KXsVIAW,Marketing,ABM,Cat2,TypeB,1,20.36
a00P0000006KXsWIAW,Development,Coding,Cat3,TypeC,3,2.29
a00P0000006KXsXIAW,Marketing,ABM,Cat3,TypeB,10,53.08
a00P0000006KXsYIAW,Support,Tier 3,Cat2,TypeB,4,87.01
a00P0000006KXsZIAW,Development,Quality Assurance,Cat3,TypeB,3,15.85
a00P0000006KXsaIAG,Sales,Sales Engineering,Cat1,TypeB,1,57.67
a00P0000006KXsbIAG,Marketing,ABM,Cat2,TypeB,9,72.09
a00P0000006KXscIAG,Marketing,ABM,Cat1,TypeA,10,44.99
a00P0000006KXsdIAG,Sales,Sales Engineering,Cat2,TypeB,2,22.94
a00P0000006KXseIAG,Development,Coding,Cat1,TypeC,3,7.06
a00P0000006KXsfIAG,Operations,Performance Management,Cat3,TypeC,3,29.32
a00P0000006KXsgIAG,Marketing,ABM,Cat1,TypeB,9,20.17
a00P0000006KXshIAG,Development,Coding,Cat3,TypeB,7,37.83
a00P0000006KXsiIAG,Support,Tier 3,Cat1,TypeB,1,31.55
a00P0000006KXsjIAG,Support,Tier 1,Cat2,TypeC,8,81.6
a00P0000006KXskIAG,Support,Tier 1,Cat3,TypeB,3,14.95
a00P0000006KXslIAG,Operations,Human Resources,Cat2,TypeC,10,69.77
a00P0000006KXsmIAG,Operations,Human Resources,Cat2,TypeB,4,3.4
a00P0000006KXsnIAG,Support,Tier 2,Cat3,TypeA,3,40.89
a00P0000006KXsoIAG,Marketing,ABM,Cat2,TypeA,2,59.85
a00P0000006KXspIAG,Operations,Performance Management,Cat1,TypeC,6,24.84
a00P0000006KXsqIAG,Operations,Performance Management,Cat1,TypeC,6,97.38
a00P0000006KXsrIAG,Sales,Sales Engineering,Cat1,TypeA,8,60.7
a00P0000006KXssIAG,Support,Tier 1,Cat1,TypeC,7,16.89
a00P0000006KXstIAG,Marketing,ABM,Cat3,TypeC,4,3.19
a00P0000006KXsuIAG,Operations,Human Resources,Cat3,TypeC,8,28.2
a00P0000006KXsvIAG,Support,Tier 2,Cat3,TypeC,7,77.57
a00P0000006KXswIAG,Operations,Performance Management,Cat2,TypeA,7,88.51
a00P0000006KXsxIAG,Support,Tier 1,Cat1,TypeA,2,60.96
a00P0000006KXsyIAG,Sales,Pre Sales,Cat3,TypeC,3,2.84
a00P0000006KXszIAG,Sales,Sales Engineering,Cat1,TypeC,5,70.14
a00P0000006KXt0IAG,Operations,Performance Management,Cat2,TypeB,2,45.95
a00P0000006KXt1IAG,Operations,Human Resources,Cat1,TypeB,8,12.29
a00P0000006KXt2IAG,Operations,Human Resources,Cat3,TypeA,1,57.16
a00P0000006KXt3IAG,Marketing,ABM,Cat1,TypeC,4,15.07
a00P0000006KXt4IAG,Support,Tier 3,Cat2,TypeC,6,79.18
